Year,Month,State,Illnesses,Hospitalizations,Deaths
1998,6,Washington,2,0,0
1998,8,Washington,2,0,0
1998,9,Vermont,4,0,0
1998,12,Vermont,33,0,0
1998,5,Virginia,8,0,0
1998,5,Virginia,5,0,0
1998,10,Texas,29,0,0
1998,9,Texas,8,0,0
1998,8,Texas,7,0,0
1998,8,Texas,60,0,0
1998,8,Texas,8,0,0
1998,8,Texas,225,0,0
1998,7,Texas,3,0,0
1998,7,Texas,6,0,0
1998,7,Texas,19,0,0
1998,7,Texas,4,0,0
1998,6,Texas,23,0,0
1998,6,Texas,20,0,0
1998,6,Texas,2,0,0
1998,6,Texas,2,0,0
1998,5,Texas,5,0,0
1998,5,Texas,141,0,0
1998,5,Texas,50,0,0
1998,4,Texas,18,0,0
1998,4,Texas,15,0,0
1998,4,Texas,2,0,0
1998,3,Texas,78,0,0
1998,2,Texas,2,0,0
1998,2,Texas,5,0,0
1998,2,Texas,22,0,0
1998,1,Texas,218,0,0
1998,5,Tennessee,264,12,0
1998,7,South Dakota,6,1,0
1998,5,South Dakota,10,0,0
1998,12,South Carolina,35,0,0
1998,12,South Carolina,12,1,0
1998,10,Oregon,6,0,0
1998,9,Oregon,5,0,0
1998,7,Oregon,2,0,0
1998,12,Oregon,2,0,0
1998,11,Oregon,22,1,0
1998,12,Oregon,9,0,0
1998,8,Oregon,42,0,0
1998,7,Oregon,150,0,0
1998,5,Oregon,20,0,0
1998,4,Oregon,16,0,0
1998,2,Oregon,4,0,0
1998,2,Oregon,29,2,0
1998,1,Oregon,2,0,0
1998,1,Oregon,8,0,0
1998,10,Oregon,57,0,0
1998,5,Oregon,9,0,0
1998,3,Oregon,28,1,0
1998,7,Oregon,36,0,0
1998,7,Oregon,8,1,0
1998,9,Oregon,250,0,0
1998,6,Oklahoma,8,1,0
1998,12,Ohio,6,0,0
1998,12,Ohio,5,0,0
1998,10,Ohio,9,0,0
1998,12,Ohio,2,0,0
1998,12,Ohio,2,0,0
1998,11,New York,4,0,0
1998,11,New York,15,0,0
1998,10,New York,8,1,0
